Depart date,Return date,Outbound Origin,Outbound Destination,Outbound Departure time,Outbound Arrival time,Outbound Duration,Return Origin,Return Destination,Return Departure time,Return Arrival time,Return Duration,Price
2024-11-01,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£856.12
2024-11-01,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-01,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£663.88
2024-11-01,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,16:40,06:30,22 hours 50 minutes,£580.62
2024-11-01,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,16:20,06:30,23 hours 10 minutes,£603.77
2024-11-01,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,16:20,06:30,23 hours 10 minutes,£582.35
2024-11-01,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,16:40,06:30,22 hours 50 minutes,£608.29
2024-11-01,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,16:40,06:30,22 hours 50 minutes,£581.74
2024-11-01,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,16:20,06:30,23 hours 10 minutes,£582.22
2024-11-01,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,14:30,06:30,25 hours 0 minutes,£582.22
2024-11-02,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£500.93
2024-11-02,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£846.71
2024-11-02,2025-01-15,LGW,ICN,10:30,13:30,18 hours 0 minutes,ICN,LGW,16:20,14:00,30 hours 40 minutes,£415.79
2024-11-02,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,16:20,14:00,30 hours 40 minutes,£415.79
2024-11-02,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,16:20,14:00,30 hours 40 minutes,£444.72
2024-11-02,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-02,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,18:10,15:55,30 hours 45 minutes,£500.93
2024-11-02,2025-01-15,LGW,ICN,10:30,13:30,18 hours 0 minutes,ICN,LGW,16:20,06:30,23 hours 10 minutes,£521.56
2024-11-02,2025-01-15,LHR,ICN,06:20,10:10,18 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£661.89
2024-11-02,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,16:20,06:30,23 hours 10 minutes,£521.56
2024-11-03,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-03,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-03,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-03,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-03,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-03,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£991.47
2024-11-03,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-03,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-03,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£624.79
2024-11-03,2025-01-15,LHR,ICN,20:25,21:45,16 hours 20 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£669.39
2024-11-04,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-04,2025-01-15,LHR,ICN,17:05,16:55,14 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£625.49
2024-11-04,2025-01-15,LGW,ICN,16:55,18:20,16 hours 25 minutes,ICN,LHR,09:35,21:05,20 hours 30 minutes,£623.64
2024-11-04,2025-01-15,LGW,ICN,16:55,18:20,16 hours 25 minutes,ICN,LGW,09:35,21:30,20 hours 55 minutes,£623.64
2024-11-04,2025-01-15,LHR,ICN,15:45,16:55,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£625.49
2024-11-04,2025-01-15,LCY,ICN,17:55,16:55,14 hours 0 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£635.08
2024-11-04,2025-01-15,LHR,ICN,18:00,18:20,15 hours 20 minutes,ICN,LHR,09:35,21:05,20 hours 30 minutes,£652.73
2024-11-04,2025-01-15,LCY,ICN,17:05,16:55,14 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£635.08
2024-11-04,2025-01-15,LHR,ICN,17:45,18:20,15 hours 35 minutes,ICN,LHR,09:35,21:05,20 hours 30 minutes,£655.01
2024-11-04,2025-01-15,LHR,ICN,18:00,18:20,15 hours 20 minutes,ICN,LGW,09:35,21:30,20 hours 55 minutes,£652.73
2024-11-05,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-05,2025-01-15,LHR,ICN,10:20,12:15,16 hours 55 minutes,ICN,LHR,23:00,09:10,19 hours 10 minutes,£692.89
2024-11-05,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£658.87
2024-11-05,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£991.47
2024-11-05,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£694.89
2024-11-05,2025-01-15,LHR,ICN,20:25,21:45,16 hours 20 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£658.87
2024-11-05,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£589.33
2024-11-05,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£589.33
2024-11-05,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£618.32
2024-11-05,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£647.33
2024-11-06,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£846.71
2024-11-06,2025-01-15,LHR,ICN,17:05,16:55,14 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£625.49
2024-11-06,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-06,2025-01-15,LHR,ICN,15:45,16:55,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£625.49
2024-11-06,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-06,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£658.87
2024-11-06,2025-01-15,LGW,ICN,16:55,18:20,16 hours 25 minutes,ICN,LHR,09:35,21:05,20 hours 30 minutes,£638.05
2024-11-06,2025-01-15,LGW,ICN,16:55,18:20,16 hours 25 minutes,ICN,LGW,09:35,21:30,20 hours 55 minutes,£638.05
2024-11-06,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£573.44
2024-11-06,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£599.23
2024-11-07,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-07,2025-01-15,LHR,ICN,17:35,17:10,14 hours 35 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£708.89
2024-11-07,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-07,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-07,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£678.89
2024-11-07,2025-01-15,LGW,ICN,06:00,09:05,18 hours 5 minutes,ICN,LHR,09:35,21:05,20 hours 30 minutes,£615.33
2024-11-07,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£999.03
2024-11-07,2025-01-15,LGW,ICN,06:00,09:05,18 hours 5 minutes,ICN,LGW,09:35,21:30,20 hours 55 minutes,£615.33
2024-11-07,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-07,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-08,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-08,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-08,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-08,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£689.52
2024-11-08,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-08,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£722.89
2024-11-08,2025-01-15,LHR,ICN,21:30,22:00,15 hours 30 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£633.55
2024-11-08,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£653.43
2024-11-08,2025-01-15,LGW,ICN,05:55,09:05,18 hours 10 minutes,ICN,LHR,09:35,21:05,20 hours 30 minutes,£647.90
2024-11-08,2025-01-15,LHR,ICN,20:25,21:45,16 hours 20 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£708.70
2024-11-09,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,16:20,14:00,30 hours 40 minutes,£415.79
2024-11-09,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-09,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,16:20,14:00,30 hours 40 minutes,£415.79
2024-11-09,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-09,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1048.70
2024-11-09,2025-01-15,LHR,ICN,06:20,10:10,18 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£640.89
2024-11-09,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-09,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,16:20,14:00,30 hours 40 minutes,£510.19
2024-11-09,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£624.79
2024-11-09,2025-01-15,LHR,ICN,21:30,22:00,15 hours 30 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£633.55
2024-11-10,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-10,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£653.89
2024-11-10,2025-01-15,LHR,ICN,06:20,10:10,18 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£624.89
2024-11-10,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-10,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-10,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-10,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-10,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£991.47
2024-11-10,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-10,2025-01-15,LHR,ICN,20:25,21:45,16 hours 20 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-11,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-11,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-11,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-11,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-11,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-11,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£694.89
2024-11-11,2025-01-15,LGW,ICN,16:55,18:20,16 hours 25 minutes,ICN,LHR,09:35,21:05,20 hours 30 minutes,£650.48
2024-11-11,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-11,2025-01-15,LGW,ICN,16:55,18:20,16 hours 25 minutes,ICN,LGW,09:35,21:30,20 hours 55 minutes,£650.48
2024-11-11,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-12,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-12,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-12,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-12,2025-01-15,LHR,ICN,10:20,12:15,16 hours 55 minutes,ICN,LHR,23:00,09:10,19 hours 10 minutes,£692.89
2024-11-12,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,14:55,20:10,38 hours 15 minutes,£515.40
2024-11-12,2025-01-15,LHR,ICN,06:20,10:10,18 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£646.89
2024-11-12,2025-01-15,LHR,ICN,17:35,17:10,14 hours 35 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£722.29
2024-11-12,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£669.39
2024-11-12,2025-01-15,LGW,ICN,06:00,09:05,18 hours 5 minutes,ICN,LHR,09:35,21:05,20 hours 30 minutes,£617.13
2024-11-12,2025-01-15,LGW,ICN,06:00,09:05,18 hours 5 minutes,ICN,LGW,09:35,21:30,20 hours 55 minutes,£617.13
2024-11-13,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-13,2025-01-15,LHR,ICN,17:35,17:10,14 hours 35 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£649.69
2024-11-13,2025-01-15,LHR,ICN,14:45,17:10,17 hours 25 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.69
