Depart date,Return date,Outbound Origin,Outbound Destination,Outbound Departure time,Outbound Arrival time,Outbound Duration,Return Origin,Return Destination,Return Departure time,Return Arrival time,Return Duration,Price
2024-11-13,2025-01-15,LHR,ICN,17:05,16:55,14 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£617.49
2024-11-13,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-13,2025-01-15,LHR,ICN,15:45,16:55,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£617.49
2024-11-13,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-13,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-13,2025-01-15,LCY,ICN,17:05,16:55,14 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£627.08
2024-11-13,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-14,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-14,2025-01-15,LHR,ICN,06:20,10:10,18 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-14,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-14,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-14,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-14,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-14,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£991.47
2024-11-14,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-14,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-14,2025-01-15,LHR,ICN,06:30,07:10,15 hours 40 minutes,ICN,LHR,08:50,22:00,22 hours 10 minutes,£639.28
2024-11-15,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£846.71
2024-11-15,2025-01-15,LHR,ICN,10:20,12:15,16 hours 55 minutes,ICN,LHR,23:00,09:10,19 hours 10 minutes,£693.43
2024-11-15,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£886.00
2024-11-15,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£690.39
2024-11-15,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1062.59
2024-11-15,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£573.50
2024-11-15,2025-01-15,LHR,ICN,17:40,21:45,19 hours 5 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£658.87
2024-11-15,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£573.50
2024-11-15,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£608.89
2024-11-15,2025-01-15,LHR,ICN,20:25,21:45,16 hours 20 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£698.68
2024-11-16,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-16,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-16,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-16,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-16,2025-01-15,LHR,ICN,16:25,16:55,15 hours 30 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£666.49
2024-11-16,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-16,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-16,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£624.79
2024-11-16,2025-01-15,LHR,ICN,21:30,22:00,15 hours 30 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£633.55
2024-11-16,2025-01-15,LHR,ICN,14:05,16:55,17 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£666.49
2024-11-17,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-17,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-17,2025-01-15,LHR,ICN,06:20,10:10,18 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-17,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-17,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-17,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-17,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-17,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£991.47
2024-11-17,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-17,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-18,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-18,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-18,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-18,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-18,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1017.01
2024-11-18,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£692.89
2024-11-18,2025-01-15,LHR,ICN,17:05,16:55,14 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£666.49
2024-11-18,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-18,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-18,2025-01-15,LHR,ICN,15:45,16:55,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£670.49
2024-11-19,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-19,2025-01-15,LHR,ICN,06:20,10:10,18 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-19,2025-01-15,LHR,ICN,10:20,12:15,16 hours 55 minutes,ICN,LHR,23:00,09:10,19 hours 10 minutes,£677.88
2024-11-19,2025-01-15,LHR,ICN,17:35,17:10,14 hours 35 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£700.69
2024-11-19,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-19,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-19,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-19,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£908.48
2024-11-19,2025-01-15,LHR,ICN,14:45,17:10,17 hours 25 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£692.69
2024-11-19,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-20,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-20,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-20,2025-01-15,LHR,ICN,17:05,16:55,14 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£617.49
2024-11-20,2025-01-15,LHR,ICN,06:20,10:10,18 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-20,2025-01-15,LHR,ICN,15:45,16:55,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£617.49
2024-11-20,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-20,2025-01-15,LHR,ICN,17:35,17:10,14 hours 35 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£711.83
2024-11-20,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-20,2025-01-15,LCY,ICN,17:05,16:55,14 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£627.08
2024-11-20,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-21,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-21,2025-01-15,LHR,ICN,17:35,17:10,14 hours 35 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£671.74
2024-11-21,2025-01-15,LHR,ICN,06:20,10:10,18 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-21,2025-01-15,LHR,ICN,14:45,17:10,17 hours 25 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£649.69
2024-11-21,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-21,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-21,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-21,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-21,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-21,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-22,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-22,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-22,2025-01-15,LHR,ICN,06:20,10:10,18 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£616.89
2024-11-22,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-22,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-22,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-22,2025-01-15,LHR,ICN,20:25,21:45,16 hours 20 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£658.87
2024-11-22,2025-01-15,LHR,ICN,17:35,17:10,14 hours 35 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£753.28
2024-11-22,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-22,2025-01-15,LHR,ICN,21:30,22:00,15 hours 30 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£633.55
2024-11-23,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-23,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-23,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£702.28
2024-11-23,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-23,2025-01-15,LHR,ICN,16:25,16:55,15 hours 30 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£666.49
2024-11-23,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-23,2025-01-15,LGW,ICN,05:55,09:35,18 hours 40 minutes,ICN,LHR,09:35,21:05,20 hours 30 minutes,£635.40
2024-11-23,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£624.79
2024-11-23,2025-01-15,LHR,ICN,21:30,22:00,15 hours 30 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£633.55
2024-11-23,2025-01-15,LHR,ICN,14:05,16:55,17 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£666.49
2024-11-24,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-24,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-24,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-24,2025-01-15,LHR,ICN,06:20,10:10,18 hours 50 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£656.89
2024-11-24,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-24,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1034.89
2024-11-24,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£991.47
2024-11-24,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£716.89
2024-11-24,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-24,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-25,2025-01-15,LHR,ICN,20:10,16:05,10 hours 55 minutes,ICN,LHR,14:30,18:00,12 hours 30 minutes,£845.90
2024-11-25,2025-01-15,LHR,ICN,09:00,10:10,16 hours 10 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£669.71
2024-11-25,2025-01-15,LHR,ICN,18:50,16:15,12 hours 25 minutes,ICN,LHR,10:40,16:30,14 hours 50 minutes,£871.39
2024-11-25,2025-01-15,LHR,ICN,17:35,17:10,14 hours 35 minutes,ICN,LHR,12:15,21:25,18 hours 10 minutes,£711.83
2024-11-25,2025-01-15,LHR,ICN,17:40,16:50,14 hours 10 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£654.37
2024-11-25,2025-01-15,LGW,ICN,10:30,11:55,16 hours 25 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-25,2025-01-15,LHR,ICN,18:50,14:50,11 hours 0 minutes,ICN,LHR,13:00,16:30,12 hours 30 minutes,£1012.59
2024-11-25,2025-01-15,LGW,ICN,17:00,20:45,18 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£553.73
2024-11-25,2025-01-15,LHR,ICN,21:00,20:45,14 hours 45 minutes,ICN,LGW,18:25,06:30,21 hours 5 minutes,£582.35
2024-11-25,2025-01-15,LHR,ICN,20:25,21:45,16 hours 20 minutes,ICN,LHR,10:40,17:50,16 hours 10 minutes,£664.32
